subject,predicate,object,type_s,type_o,urgency_level,recommended_action,safe_action,contraindicated_for,source_reference,confidence_level,last_updated
Chest pain,IS_RED_FLAG_FOR,Heart attack,Symptom,Condition,emergency,Call emergency services immediately; chew aspirin if advised by clinician,"Sit down, rest, avoid exertion",,https://www.nhs.uk/conditions/heart-attack/,high,2025-11-19
Chest pain,IS_ASSOCIATED_WITH,Angina,Symptom,Condition,urgent,See cardiology/GP for assessment,Rest and avoid exertion,,https://www.nhs.uk/conditions/angina/,high,2025-11-19
Left arm pain,IS_ASSOCIATED_WITH,Heart attack,Symptom,Condition,emergency,Call emergency services immediately,Keep person still and monitor breathing,,https://www.nhs.uk/conditions/heart-attack/,high,2025-11-19
Left arm pain,IS_ASSOCIATED_WITH,Acute coronary syndrome,Symptom,Condition,emergency,Call emergency services immediately,"Sit down, stay calm",,https://www.nhs.uk/conditions/heart-attack/,high,2025-11-19
Left arm pain,IS_ASSOCIATED_WITH,Angina,Symptom,Condition,urgent,Cardiology assessment and risk stratification,Rest and avoid exertion,,https://www.nhs.uk/conditions/angina/,high,2025-11-19
Right arm pain,IS_ASSOCIATED_WITH,Heart attack,Symptom,Condition,emergency,Call emergency services immediately,Keep person still and monitor breathing,,https://www.nhs.uk/conditions/heart-attack/,high,2025-11-19
Jaw pain,IS_ASSOCIATED_WITH,Heart attack,Symptom,Condition,emergency,Call emergency services immediately,Seek urgent help,,https://www.nhs.uk/conditions/heart-attack/,high,2025-11-19
Jaw pain,IS_ASSOCIATED_WITH,Angina,Symptom,Condition,urgent,Cardiology assessment and risk stratification,Rest and avoid exertion,,https://www.nhs.uk/conditions/angina/,high,2025-11-19
Shoulder pain,IS_ASSOCIATED_WITH,Heart attack,Symptom,Condition,emergency,Call emergency services immediately,Keep person still,,https://www.nhs.uk/conditions/heart-attack/,high,2025-11-19
Back pain (upper),IS_ASSOCIATED_WITH,Heart attack,Symptom,Condition,emergency,Call emergency services immediately,Keep person still,,https://www.nhs.uk/conditions/heart-attack/,high,2025-11-19
Back pain (upper),IS_RED_FLAG_FOR,Aortic dissection,Symptom,Condition,emergency,Call emergency services immediately; urgent surgical assessment,Keep patient still and calm,,https://www.nhs.uk/conditions/aortic-dissection/,high,2025-11-19
Cold sweats,IS_ASSOCIATED_WITH,Heart attack,Symptom,Condition,emergency,Call emergency services immediately,Keep person calm,,https://www.nhs.uk/conditions/heart-attack/,high,2025-11-19
Nausea with chest pain,IS_ASSOCIATED_WITH,Heart attack,Symptom,Condition,emergency,Call emergency services immediately,Keep person still,,https://www.nhs.uk/conditions/heart-attack/,high,2025-11-19
Lightheadedness with chest pain,IS_ASSOCIATED_WITH,Heart attack,Symptom,Condition,emergency,Call emergency services immediately,Lie down if dizzy; avoid sudden movements,,https://www.nhs.uk/conditions/heart-attack/,high,2025-11-19
Palpitations,IS_ASSOCIATED_WITH,Arrhythmia,Symptom,Condition,urgent,See primary care/ECG if recurrent or syncope,Lie down if faint,,https://www.nhs.uk/conditions/abnormal-heart-rhythm-arrhythmia/,high,2025-11-19
